SPRING SEMESTER 2014|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty first name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
BIO-248L-A01|0||Genetics Lab|Marian|Kaehler|SAMP|273|01:30PM|04:30PM|M|
BIO-248L-A02|0||Genetics Lab|Guinevere|Strand|SAMP|273|11:00AM|02:00PM|T|
BIO-248L-A03|0||Genetics Lab|Marian|Kaehler|SAMP|273|02:30PM|05:30PM|T|
BIO-248L-A04|0||Genetics Lab|Marian|Kaehler,Strand|SAMP|273|11:00AM|02:00PM|R|
BIO-252-A|4||Botany|Molly|McNicoll|SAMP|135|12:45PM|04:00PM|T|
BIO-252L-A01|0||Botany Lab|Molly|McNicoll|SAMP|135|12:45PM|04:00PM|R|
BIO-253-A|4||Invertebrate Zoology|Kirk|Larsen|SAMP|132|08:00AM|09:00AM|MW|
BIO-253L-A01|0||Invertebrate Zoo Lab|Kirk|Larsen|SAMP|132|01:30PM|03:45PM|MW|
BIO-262-A|4||Environmntl Animal Physiology|Mark|Eichinger|VALD|362|11:00AM|12:00PM|MWF|
BIO-262L-A01|0||Envir Animal Physiology Lab|Mark|Eichinger|SAMP|175|12:45PM|03:45PM|T|
BIO-339-A|4||ST:Genomics|Dawn|Reding|OLIN|213|11:00AM|12:30PM|TR|
BIO-339L-A01|0||ST:Genomics Lab|Dawn|Reding|OLIN|213|06:30PM|08:30PM|M|
BIO-354-A|4||Evolutionary Biology|Eric|Baack|SAMP|153|08:00AM|09:30AM|TR|
BIO-354L-A01|0||Evolutionary Biology Lab|Eric|Baack|SAMP|173|02:15PM|04:15PM|RR|
||||||SAMP|232|02:15PM|04:15PM||
BIO-357-A|4||Immunology|Jodi|Enos-Berlage|VALD|362|08:00AM|09:30AM|TR|
BIO-358-A|4||Toxicology|Stephanie|Fretham|VALD|252|08:00AM|09:00AM|MWF|
BIO-358L-A01|0||Toxicology Lab|Stephanie|Fretham|ARR|ARR|11:00AM|02:15PM|T|
BIO-362-A|4||Neuroscience|Scott|Carlson|VALD|262|08:00AM|09:30AM|TR|
BIO-389-A|1|4|Directed Research|Eric|Baack|ARR|ARR||||
BIO-389-B|1|4|Directed Research|Marian|Kaehler|ARR|ARR||||
BIO-485-A|1||Sem:Life of Birds|Tex|Sordahl|VALD|206|06:30PM|08:30PM|M|
BIO-487-A|1||Biology Colloquium|Eric|Baack|VALD|206|09:40AM|10:30AM|R|
BIO-490-A|1|4|Senior Project|Mark|Eichinger|ARR|ARR||||
BIO-493-A|4||Senior Honors Project|Elizabeth|Lynch|ARR|ARR||||
CHEM-114-A|4||The Enviro: a Chemical Persp|Claude|Mertzenich|VALD|262|12:45PM|02:15PM|TR|
CHEM-114L-A01|0|| The Env:Chemical Persp Lab|Claude|Mertzenich|SAMP|233|08:00AM|09:30AM|R|
CHEM-114L-A02|0|| The Env:Chemical Persp Lab|Claude|Mertzenich|SAMP|233|11:00AM|12:30PM|R|
CHEM-141-A|4||Essentials of Chemistry|Olga|Rinco|VALD|367|08:00AM|09:30AM|TR|
CHEM-141L-A01|0||Essentials of Chemistry Lab|Robyn|Ovans|SAMP|233|01:45PM|03:45PM|M|
CHEM-152-A|4||Chemical Principles II|John|Jefferson|OLIN|102|09:15AM|10:15AM|MWF|
