Fall 2014 courses|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty First Name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
BIO-151L-A10|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|11:00AM|01:00PM|R|
BIO-151L-A11|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|01:30PM|03:30PM|R|
BIO-231-A|2||Microscopy|Robert|Fitton|SAMP|155|08:00AM|09:30AM|TR|First 7 weeks
BIO-232-A|2||Microscopy Laboratory|Robert|Fitton|SAMP|131|08:00AM|09:30AM|TR|Second 7 weeks
BIO-243-A|4||Microbiology|Jodi|Enos-Berlage,Lewis|VALD|206|08:00AM|09:30AM|TR|
BIO-243L-A01|0||Microbiology Lab|Jodi|Enos-Berlage,Strand|SAMP|256|11:00AM|12:30PM|MW|
BIO-243L-A02|0||Microbiology Lab|Jodi|Enos-Berlage,Strand|SAMP|256|01:30PM|03:00PM|MW|
BIO-243L-A03|0||Microbiology Lab|Jodi|Enos-Berlage|SAMP|256|11:00AM|12:30PM|TR|
BIO-243L-A04|0||Microbiology Lab|Jodi|Enos-Berlage,Lewis|SAMP|256|12:45PM|02:15PM|TR|
BIO-243L-A05|0||Microbiology Lab|Jodi|Enos-Berlage,Lewis|SAMP|256|02:30PM|04:00PM|TR|
BIO-248-A|4||Genetics|Dawn|Reding|VALD|367|09:15AM|10:15AM|MWF|
BIO-248L-A01|0||Genetics Lab|Dawn|Reding|SAMP|273|11:00AM|02:00PM|T|
BIO-248L-A02|0||Genetics Lab|Dawn|Reding|SAMP|273|02:30PM|05:30PM|T|
BIO-251-A|4||Entomology|Kirk|Larsen|SAMP|132|01:30PM|02:30PM|MWF|
BIO-251L-A01|0||Entomology Lab|Kirk|Larsen|SAMP|132|02:45PM|03:45PM|MWF|
BIO-255-A|4||Human Physiology|Scott|Carlson|OLIN|102|08:00AM|09:00AM|MWF|
BIO-255L-A01|0||Human Physiology Lab|Scott|Carlson|SAMP|155|12:45PM|03:00PM|T|
BIO-255L-A02|0||Human Physiology Lab|Scott|Carlson|SAMP|155|01:30PM|03:45PM|W|
BIO-255L-A03|0||Human Physiology Lab|Scott|Carlson|SAMP|155|11:00AM|01:15PM|R|
BIO-255L-A04|0||Human Physiology Lab|Scott|Carlson|SAMP|155|02:30PM|04:45PM|R|
BIO-256-A|4||Biostatistics|James|Eckblad|OLIN|213|11:00AM|12:00PM|MWF|
BIO-256L-A01|0||Biostatistics Lab|James|Eckblad|OLIN|201|06:30PM|08:30PM|M|
BIO-256L-A02|0||Biostatistics Lab|James|Eckblad|OLIN|201|12:45PM|02:45PM|T|
BIO-303-A|2||Bioethics|Marian|Kaehler|VALD|262|08:00PM|10:00PM|M|
BIO-363-A|4||Molecular Biology|Marian|Kaehler|VALD|367|11:00AM|12:00PM|MWF|
BIO-363L-A01|0||Molecular Biology Lab|Marian|Kaehler|SAMP|253|01:30PM|04:30PM|W|
BIO-365-A|4||Ecology|Elizabeth|Lynch|SAMP|135|11:00AM|12:30PM|TR|
BIO-365L-A|0||General Ecology Lab|Elizabeth|Lynch|SAMP|135|12:30PM|03:30PM|R|
BIO-368-A|4||Human Dissection & Anatomy|Stephanie|Fretham|VALD|262|08:30AM|09:30AM|TR|
BIO-368L-A01|0||Human Dissection & Anat Lab|Stephanie|Fretham|SAMP|153|12:45PM|03:45PM|T|
BIO-368L-A02|0||Human Dissection & Anat Lab|Stephanie|Fretham|SAMP|153|12:45PM|03:45PM|R|
BIO-380-C|1||Research Internship|Marian|Kaehler|ARR|ARR||||
BIO-487-A|1||Biology Colloquium|Mark|Eichinger|ARR|ARR||||
BIO-490-A|1||Senior Project|Scott|Carlson,Eichinger,Enos-Berlage,Lewis,Kaehler,McNicoll|ARR|ARR||||
CHEM-151-A|4||Chemical Principles I|Olga|Rinco|VALD|362|09:15AM|10:15AM|MWF|
CHEM-151-B|4||Chemical Principles I|Claude|Mertzenich|VALD|362|08:00AM|09:30AM|TR|
CHEM-151-C|4||Chemical Principles I|John|Jefferson|VALD|362|01:30PM|02:30PM|MWF|
CHEM-151L-01|0||Chemical Principles I Lab|Alisa|Winsauer|SAMP|372|02:45PM|04:45PM|M|
CHEM-151L-02|0||Chemical Principles I Lab|Claude|Mertzenich|SAMP|372|11:30AM|01:30PM|T|
CHEM-151L-03|0||Chemical Principles I Lab|Robyn|Ovans|SAMP|233|11:00AM|01:00PM|T|
CHEM-151L-04|0||Chemical Principles I Lab|Alisa|Winsauer|SAMP|372|01:45PM|03:45PM|T|
CHEM-151L-05|0||Chemical Principles I Lab|John|Jefferson|SAMP|233|02:30PM|04:30PM|T|
